ChangedType,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath
[PROP_CHANGED],,,class,<>,a,/html/body/div[6]/footer[1]/p[1]/a[1],<w3-hover-text-green>,a,/html/body/div[9]/footer[1]/p[1]/a[1],,
[NODE_ADDED],h3,/html/body/div[9]/div[1]/div[2]/div[1]/h3[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,h4,/html/body/div[6]/div[1]/div[2]/div[1]/h4[1]
[PROP_CHANGED],,,class,<w3-col l6 w3-center section>,div,/html/body/div[6]/div[1]/div[1],<w3-col l6 w3-center>,div,/html/body/div[9]/div[1]/div[1],,
[PROP_CHANGED],,,class,<w3-btn sectionbtn>,a,/html/body/div[6]/div[1]/div[1]/a[2],<w3-button w3-dark-grey>,a,/html/body/div[9]/div[1]/div[1]/a[2],,
[PROP_CHANGED],,,class,<w3-btn sectionbtn>,a,/html/body/div[6]/div[1]/div[1]/a[1],<w3-button w3-dark-grey>,a,/html/body/div[9]/div[1]/div[1]/a[1],,
[PROP_CHANGED],,,class,<>,p,/html/body/div[6]/div[1]/div[1]/p[1],<w3-xlarge w3-text-dark-grey>,p,/html/body/div[9]/div[1]/div[1]/p[1],,
[PROP_CHANGED],,,id,<sidemenu>,nav,/html/body/nav[6],<nav_exercises>,nav,/html/body/nav[5],,
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[27]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[26]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[25]
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[6]
[NODE_REMOVED],,,,,,,,,,nav,/html/body/div[6]/footer[1]/nav[1]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[24]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[23]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[22]
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[5]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[21]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[20]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[19]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[18]
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[4]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[17]
[NODE_REMOVED],,,,,,,,,,br,/html/body/div[6]/footer[1]/br[1]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[16]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[15]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[14]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[13]
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[3]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[12]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[11]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[10]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[9]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[8]
[NODE_ADDED],div,/html/body/div[9]/footer[1]/div[1],,,,,,,,,
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[7]
[NODE_REMOVED],,,,,,,,,,h2,/html/body/nav[6]/h2[2]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[6]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[5]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[4]
[NODE_REMOVED],,,,,,,,,,a,/html/body/nav[6]/a[3]
[NODE_REMOVED],,,,,,,,,,a,/html/body/div[6]/footer[1]/a[1]
[NODE_ADDED],div,/html/body/div[9]/div[12],,,,,,,,,
